A,O,T,mac,meanlat,meanmac,meanwhak,minlat,n,p,perimeter,q,r,whak
8.72e12,505700.0,291.5,18100.0,8.327,2.075e-9,4.484e-9,1.856,27,-1,2.042e7,1.361e-8,118700.0,39100.0
2.824e12,446200.0,270.7,2866.0,-34.21,1.015e-9,5.298e-11,24.12,27,-1,8.375e6,2.002e-9,5654.0,149.6
5.087e11,410200.0,294.6,743.5,-9.252,1.462e-9,1.283e-9,5.567,27,-1,3.321e6,2.985e-9,1518.0,652.6
3.253e13,598900.0,229.0,4605.0,-62.58,1.416e-10,3.072e-12,20.41,28,-1,4.823e7,2.031e-10,6606.0,99.92
6.005e13,727000.0,279.3,74640.0,9.223,1.243e-9,8.704e-10,1.856,28,-1,8.592e7,3.634e-9,218200.0,52270.0
8.507e11,409200.0,223.5,97.56,87.16,1.147e-10,1.084e-13,87.16,28,-1,2.618e6,1.584e-10,134.7,0.09218
4.432e12,534800.0,293.2,14210.0,-3.517,3.206e-9,5.067e-9,1.856,28,-1,1.159e7,1.495e-8,66260.0,22460.0
1.675e12,415900.0,283.6,244.5,27.37,1.459e-10,2.192e-11,20.41,28,-1,6.249e6,1.601e-10,268.1,36.71
7.38e12,493400.0,293.4,12880.0,-5.973,1.746e-9,2.182e-9,1.856,28,-1,2.032e7,6.273e-9,46290.0,16100.0
2.504e11,227600.0,234.3,48.19,68.65,1.924e-10,4.789e-13,68.65,28,-1,2.008e6,2.638e-10,66.07,0.1199
2.841e12,454000.0,258.2,5161.0,-40.88,1.816e-9,9.426e-11,31.54,28,-1,8.456e6,5.734e-9,16290.0,267.8
2.217e12,412600.0,293.6,6775.0,2.674,3.055e-9,4.888e-9,1.856,28,-1,8.3e6,1.471e-8,32610.0,10840.0
3.25e12,482100.0,292.2,1000.0,18.41,3.077e-10,1.455e-10,12.99,28,-1,8.903e6,3.598e-10,1169.0,472.9
3.374e11,408900.0,294.7,215.4,-11.12,6.383e-10,3.277e-10,9.278,28,-1,2.484e6,7.723e-10,260.6,110.6
2.81e11,340500.0,265.9,941.1,35.26,3.349e-9,3.684e-10,35.26,28,-1,2.189e6,1.183e-8,3325.0,103.5
8.507e11,409200.0,216.3,51.76,-87.16,6.084e-11,2.988e-14,87.16,29,-1,2.618e6,8.352e-11,71.05,0.02541
5.17e13,775600.0,257.3,41660.0,-38.15,8.058e-10,1.031e-9,1.856,29,-1,6.448e7,3.791e-9,196000.0,53310.0
2.336e13,523300.0,266.4,23580.0,39.84,1.01e-9,8.732e-11,9.278,29,-1,4.471e7,2.462e-9,57510.0,2040.0
8.507e11,409200.0,223.6,109.1,87.16,1.282e-10,1.264e-13,87.16,29,-1,2.618e6,1.832e-10,155.8,0.1076
1.2e12,437600.0,291.5,6140.0,3.433,5.117e-9,1.606e-8,1.856,29,-1,5.824e6,5.221e-8,62650.0,19270.0
6.465e12,501900.0,290.2,20360.0,9.635,3.148e-9,5.275e-9,1.856,29,-1,1.77e7,1.669e-8,107900.0,34100.0
2.535e12,428700.0,287.5,382.0,-22.05,1.507e-10,3.956e-11,12.99,29,-1,8.053e6,1.641e-10,416.1,100.3
1.024e13,526900.0,292.6,31180.0,8.039,3.046e-9,5.655e-9,1.856,29,-1,2.291e7,1.746e-8,178700.0,57890.0
1.956e12,374100.0,255.1,2190.0,-40.08,1.119e-9,3.675e-11,31.54,29,-1,7.226e6,3.047e-9,5959.0,71.88
2.675e11,324200.0,260.7,846.1,38.97,3.163e-9,2.561e-10,38.97,29,-1,2.123e6,1.33e-8,3558.0,68.5
4.387e12,474100.0,292.9,9881.0,-9.912,2.252e-9,4.411e-9,1.856,29,-1,1.401e7,1.362e-8,59750.0,19350.0
8.268e11,277000.0,237.3,213.4,60.97,2.582e-10,1.368e-12,57.52,29,-1,4.485e6,4.463e-10,369.0,1.131
4.18e12,496500.0,244.5,1404.0,-48.04,3.359e-10,4.957e-12,38.97,29,-1,9.283e6,5.229e-10,2186.0,20.72
1.57e11,380600.0,287.4,33.48,24.12,2.132e-10,5.053e-11,24.12,29,-1,1.593e6,2.338e-10,36.72,7.934
3.26e11,395100.0,291.1,153.9,18.54,4.72e-10,1.625e-10,16.7,29,-1,2.456e6,5.434e-10,177.2,52.97
6.926e11,311200.0,246.8,1130.0,54.8,1.631e-9,2.832e-11,53.81,29,-1,4.049e6,4.938e-9,3420.0,19.61
8.507e11,409200.0,219.2,80.42,-87.16,9.454e-11,6.42e-14,87.16,30,-1,2.618e6,1.385e-10,117.8,0.05461
7.51e12,598400.0,292.3,16220.0,-9.509,2.159e-9,3.446e-9,1.856,30,-1,1.477e7,1.019e-8,76550.0,25880.0
1.265e13,465800.0,238.0,5701.0,65.76,4.508e-10,1.559e-11,27.83,30,-1,2.922e7,1.041e-9,13170.0,197.1
9.898e12,493000.0,260.2,8790.0,-40.88,8.881e-10,3.197e-10,9.278,30,-1,2.25e7,2.133e-9,21110.0,3165.0
4.863e12,557000.0,288.2,2102.0,-23.58,4.323e-10,1.833e-10,12.99,30,-1,1.104e7,5.462e-10,2656.0,891.5
3.684e12,453200.0,241.4,940.4,-51.56,2.553e-10,1.703e-12,42.68,30,-1,9.971e6,3.158e-10,1163.0,6.274
3.425e11,412700.0,293.5,1707.0,5.567,4.983e-9,1.348e-8,5.567,30,-1,2.493e6,3.611e-8,12370.0,4617.0
1.975e12,451100.0,295.2,578.8,-16.65,2.931e-10,1.955e-10,12.99,30,-1,6.468e6,4.015e-10,792.9,386.0
1.496e12,423400.0,296.4,1040.0,14.59,6.955e-10,6.649e-10,9.278,30,-1,6.554e6,1.428e-9,2137.0,994.7
5.157e13,647800.0,281.4,59740.0,-9.561,1.158e-9,1.358e-9,1.856,30,-1,7.519e7,3.754e-9,193600.0,70040.0
1.59e13,658100.0,285.2,28900.0,21.56,1.817e-9,3.528e-9,1.856,30,-1,2.621e7,1.06e-8,168600.0,56110.0
1.412e12,353900.0,234.7,223.4,-56.57,1.582e-10,3.775e-13,53.81,30,-1,5.667e6,1.941e-10,274.0,0.533
