A,mac,meanmac,meanwhak,whak,lat,Area Range,Latitude Range,whakfrac,macfrac
0.00949,0.0216,0.00447,5.34e-06,2.58e-05,78.2,0,4,4.59e-06,0.00478
0.0104,0.794,0.15,0.449,2.38,1.71,0,0,0.423,0.176
0.00188,0.0633,0.0661,0.00205,0.00196,51.6,0,3,0.000348,0.014
0.000316,0.00112,0.00695,0.00247,0.000398,20.4,0,1,7.06e-05,0.000248
0.00237,0.0134,0.0111,0.002,0.00241,28.1,0,1,0.000429,0.00297
0.000308,0.0026,0.0166,0.00435,0.000683,24.1,0,1,0.000121,0.000575
0.000946,0.04,0.0829,0.00406,0.00196,45.4,0,3,0.000348,0.00885
0.00161,0.0523,0.0638,0.00197,0.00162,53.1,0,3,0.000287,0.0116
0.00725,0.161,0.0436,0.00203,0.0075,43,0,2,0.00133,0.0357
0.00203,0.0211,0.0204,0.00311,0.00322,30.3,0,2,0.000573,0.00468
0.000861,0.0142,0.0324,0.00275,0.00121,31.4,0,2,0.000214,0.00315
0.0083,0.0126,0.00298,2.15e-06,9.11e-06,77,0,4,1.06e-06,0.00233
0.00879,0.0413,0.00921,0.000211,0.000945,54,0,3,0.000109,0.00763
0.0728,1.72,0.0462,0.0672,2.49,24.1,2,1,0.289,0.317
0.00167,0.00369,0.00434,5.16e-06,4.39e-06,87.2,0,4,5.09e-07,0.000682
0.00135,0.0043,0.00626,4.18e-05,2.87e-05,48.2,0,3,3.33e-06,0.000794
0.0238,0.498,0.0411,0.0584,0.707,20,1,1,0.082,0.0919
0.0294,1.36,0.0903,0.225,3.38,16.9,1,1,0.392,0.25
0.0222,0.319,0.0282,0.00129,0.0146,47.5,1,3,0.0017,0.0588
0.0142,0.285,0.0394,0.0294,0.213,21.9,1,1,0.0247,0.0526
0.0383,1.11,0.0569,0.0928,1.81,28.4,1,1,0.21,0.205
0.00146,0.0699,0.0941,0.00671,0.00499,43.8,0,2,0.000578,0.0129
0.0763,0.454,0.0117,0.0122,0.476,53,2,3,0.151,0.141
0.00191,0.0282,0.0289,0.0117,0.0114,19.2,0,1,0.00363,0.00874
0.00172,0.0347,0.0395,0.000474,0.000416,55.4,0,3,0.000133,0.0108
0.00167,0.00251,0.00295,2.26e-06,1.93e-06,87.2,0,4,6.13e-07,0.000778
0.000333,0.00407,0.024,0.0105,0.00178,9.28,0,0,0.000568,0.00126
0.000673,0.0471,0.137,0.238,0.0817,3.71,0,0,0.026,0.0146
0.000698,0.029,0.0814,0.00367,0.00131,46.4,0,3,0.000416,0.00898
0.00253,0.117,0.0907,0.00824,0.0106,33.6,0,2,0.00338,0.0362
0.0871,1.23,0.0277,0.0227,1.01,21.3,2,1,0.322,0.381
0.0135,0.544,0.0788,0.0951,0.657,6.97,1,0,0.209,0.169
0.000275,0.0119,0.0845,0.0108,0.00152,35.3,0,2,0.000483,0.00368
0.00343,0.00872,0.00498,1.93e-05,3.37e-05,52.9,0,3,1.07e-05,0.0027
